Sede,Concepto,Profesional Historia,Ingresos,Atenciones,Uds
CDMX,Almacenamiento de gametos 1 año,Peggy Molina Vargas,6034.48,1,1
CDMX,Almacenamiento de gametos 1 año,Ruben Gonzalez Ruiz,34482.74,6,6
CDMX,Almacenamiento de gametos 1 año,Sofia Rodriguez Mendoza (MEFI),10344.82,2,2
CDMX,Almacenamiento de gametos 5 años,Alejandro Kava Braveman,51724.12,4,4
CDMX,Almacenamiento de gametos 5 años,Alejandro Sanchez Aranda,68965.5,5,5
CDMX,Almacenamiento de gametos 5 años,Armando Miguel Roque Sanchez,124999.97,10,11
CDMX,Almacenamiento de gametos 5 años,Carlos Andres Lejtik Alva,12931.03,1,1
CDMX,Almacenamiento de gametos 5 años,Daniel Pascal Ponton,12931.03,1,1
CDMX,Almacenamiento de gametos 5 años,Enfermeria,12931.03,1,1
CDMX,Almacenamiento de gametos 5 años,Eugenia Morán Orozco,408706.81,29,30
CDMX,Almacenamiento de gametos 5 años,Eva Bonifacio Leon,25862.06,2,4
CDMX,Almacenamiento de gametos 5 años,Fabiola del Carmen Brito Sandoval,12931.03,1,1
CDMX,Almacenamiento de gametos 5 años,Gerardo Armando Paladino Barquera,12931.03,1,1
CDMX,Almacenamiento de gametos 5 años,Giovanni López Salamanca,125431.01,11,11
CDMX,Almacenamiento de gametos 5 años,Gisela Cuevas Velasco,12931.03,1,1
CDMX,Almacenamiento de gametos 5 años,Griselda Reyes Torres,12931.03,1,1
CDMX,Almacenamiento de gametos 5 años,Horacio Méndez Serrano,12931.03,2,2
CDMX,Almacenamiento de gametos 5 años,Jaime Antonio Hidalgo Carrera,12931.03,1,1
CDMX,Almacenamiento de gametos 5 años,Jairo Hernando Pedraza Pinto,77586.2,6,6
CDMX,Almacenamiento de gametos 5 años,Jorge Manuel Rodriguez Purata,12931.03,1,1
CDMX,Almacenamiento de gametos 5 años,José Alfonso Gutiérrez Frusch,181034.44,13,13
CDMX,Almacenamiento de gametos 5 años,José Manuel Lozano Sánchez,38793.09,3,3
CDMX,Almacenamiento de gametos 5 años,Maria Victoria Marchese,25862.06,2,2
CDMX,Almacenamiento de gametos 5 años,María de los Ángeles Flores Manzur,38793.09,3,3
CDMX,Almacenamiento de gametos 5 años,Mayela Fernandez del Campo (MEFI),25862.06,2,2
CDMX,Almacenamiento de gametos 5 años,Mayella Fernández del Campo,159482.72,11,13
CDMX,Almacenamiento de gametos 5 años,Monica Yazmin Olavarria Guadarrama,12931.03,1,1
CDMX,Almacenamiento de gametos 5 años,Ruben Gonzalez Ruiz,73275.85,5,5
CDMX,Almacenamiento de gametos 5 años,Sofia Rodriguez Mendoza (MEFI),43103.44,3,3
CDMX,Androstenediona,(Sin asignar),387.93,1,1
CDMX,Androstenediona,Jairo Hernando Pedraza Pinto,387.93,1,1
CDMX,Antigeno Prostático,Giovanni López Salamanca,948.28,1,1
CDMX,Antimulleriana AMH (Nanogramos),(Sin asignar),15086.22,12,12
CDMX,Antimulleriana AMH (Nanogramos),Alma Victoria Villarreal Barranca,14551.74,85,85
CDMX,Antimulleriana AMH (Nanogramos),Armando Miguel Roque Sanchez,13689.67,42,42
CDMX,Antimulleriana AMH (Nanogramos),Enfermeria,8620.7,5,5
CDMX,Antimulleriana AMH (Nanogramos),Eugenia Morán Orozco,16793.12,64,64
CDMX,Antimulleriana AMH (Nanogramos),Giovanni López Salamanca,6689.66,54,54
CDMX,Antimulleriana AMH (Nanogramos),Jaime Antonio Hidalgo Carrera,13689.67,40,40
CDMX,Antimulleriana AMH (Nanogramos),Jairo Hernando Pedraza Pinto,12068.98,49,49
CDMX,Antimulleriana AMH (Nanogramos),José Alfonso Gutiérrez Frusch,0.0,1,1
CDMX,Antimulleriana AMH (Nanogramos),Miranda Lucía Morán Morales,8620.7,60,60
CDMX,Antimulleriana AMH (Nanogramos),Monica Olavarria,8620.7,24,24
CDMX,Antimulleriana AMH (Nanogramos),Ruben Gonzalez Ruiz,8413.8,41,41
CDMX,Antitrombina III,Giovanni López Salamanca,668.97,1,1
CDMX,Antígeno Carcinoembrionario (CEA),Giovanni López Salamanca,715.52,1,1
CDMX,Aspiración de quiste - CDMX,Alma Victoria Villarreal Barranca,40344.82,2,2
CDMX,Aspiración de quiste - CDMX,Armando Miguel Roque Sanchez,21551.72,1,1
CDMX,Aspiración de quiste - CDMX,Eugenia Morán Orozco,20172.41,1,1
CDMX,Aspiración de quiste - CDMX,Giovanni López Salamanca,40344.82,2,2
CDMX,Aspiración de quiste - CDMX,Miranda Lucía Morán Morales,20172.41,1,1
CDMX,Aspiración de quiste - CDMX,Ruben Gonzalez Ruiz,20172.41,1,1
CDMX,Aspirina protect (caja c/28),Armando Miguel Roque Sanchez,960.0,4,4
