Sede,Concepto,MesNum,Ingresos,Atenciones,Uds
CDMX,Colocacion DIU Mirena [Consultorio],6,6465.52,1,1
CDMX,Colocacion DIU Mirena [Consultorio],7,6465.52,1,1
CDMX,Colocacion DIU Mirena [Consultorio],8,0.0,0,0
CDMX,Colocacion DIU PLATA,1,0.0,0,0
CDMX,Colocacion DIU PLATA,2,0.0,0,0
CDMX,Colocacion DIU PLATA,3,0.0,0,0
CDMX,Colocacion DIU PLATA,4,0.0,0,0
CDMX,Colocacion DIU PLATA,5,0.0,0,0
CDMX,Colocacion DIU PLATA,6,0.0,0,0
CDMX,Colocacion DIU PLATA,7,3017.24,1,1
CDMX,Colocacion DIU PLATA,8,0.0,0,0
CDMX,Cita primera vez IPS,1,0.0,0,0
CDMX,Cita primera vez IPS,2,5172.42,6,6
CDMX,Cita primera vez IPS,3,1724.14,2,2
CDMX,Cita primera vez IPS,4,3448.28,3,4
CDMX,Cita primera vez IPS,5,1724.14,2,2
CDMX,Cita primera vez IPS,6,3448.28,4,4
CDMX,Cita primera vez IPS,7,2586.21,3,3
CDMX,Cita primera vez IPS,8,8620.7,12,12
CDMX,Consulta de primera vez,1,0.0,0,0
CDMX,Consulta de primera vez,2,0.0,0,0
CDMX,Consulta de primera vez,3,0.0,0,0
CDMX,Consulta de primera vez,4,5172.42,5,5
CDMX,Consulta de primera vez,5,26293.06,22,22
CDMX,Consulta de primera vez,6,52199.06,53,51
CDMX,Consulta de primera vez,7,43319.32,38,38
CDMX,Consulta de primera vez,8,76896.46,91,91
CDMX,Check up Fertilidad Hombres,1,0.0,0,0
CDMX,Check up Fertilidad Hombres,2,0.0,0,0
CDMX,Check up Fertilidad Hombres,3,0.0,0,0
CDMX,Check up Fertilidad Hombres,4,0.0,0,0
CDMX,Check up Fertilidad Hombres,5,1896.55,1,1
CDMX,Check up Fertilidad Hombres,6,1896.55,1,1
CDMX,Check up Fertilidad Hombres,7,1616.38,1,1
CDMX,Check up Fertilidad Hombres,8,2155.17,1,1
CDMX,Check up Fertilidad Hombres GDL,1,0.0,0,0
CDMX,Check up Fertilidad Hombres GDL,2,0.0,0,0
CDMX,Check up Fertilidad Hombres GDL,3,0.0,0,0
CDMX,Check up Fertilidad Hombres GDL,4,0.0,0,0
CDMX,Check up Fertilidad Hombres GDL,5,0.0,0,0
CDMX,Check up Fertilidad Hombres GDL,6,0.0,0,0
CDMX,Check up Fertilidad Hombres GDL,7,2155.17,1,1
CDMX,Check up Fertilidad Hombres GDL,8,8362.06,4,4
CDMX,Check up Fertilidad Mujeres,1,0.0,0,0
CDMX,Check up Fertilidad Mujeres,2,0.0,0,0
CDMX,Check up Fertilidad Mujeres,3,0.0,0,0
CDMX,Check up Fertilidad Mujeres,4,1465.52,1,1
CDMX,Check up Fertilidad Mujeres,5,74051.71,43,43
CDMX,Check up Fertilidad Mujeres,6,104965.43,58,58
CDMX,Check up Fertilidad Mujeres,7,67991.32,37,37
CDMX,Check up Fertilidad Mujeres,8,60575.81,32,32
CDMX,Check up Fertilidad Parejas,1,0.0,0,0
CDMX,Check up Fertilidad Parejas,2,0.0,0,0
CDMX,Check up Fertilidad Parejas,3,0.0,0,0
CDMX,Check up Fertilidad Parejas,4,3017.24,1,1
CDMX,Check up Fertilidad Parejas,5,33879.3,11,11
CDMX,Check up Fertilidad Parejas,6,63137.91,23,23
CDMX,Check up Fertilidad Parejas,7,50172.39,17,17
CDMX,Check up Fertilidad Parejas,8,45258.6,16,16
CDMX,Consulta subsecuente,1,7241.36,5,5
CDMX,Consulta subsecuente,2,1422.41,1,1
CDMX,Consulta subsecuente,3,5689.64,4,4
CDMX,Consulta subsecuente,4,4267.23,3,3
CDMX,Consulta subsecuente,5,1422.41,1,1
CDMX,Consulta subsecuente,6,1422.41,1,1
CDMX,Consulta subsecuente,7,2844.82,2,2
CDMX,Consulta subsecuente,8,0.0,0,0
CDMX,Uso de consultorio1hr con US,1,0.0,0,0
CDMX,Uso de consultorio1hr con US,2,2241.37,3,4
CDMX,Uso de consultorio1hr con US,3,1120.68,2,2
CDMX,Uso de consultorio1hr con US,4,0.0,0,0
CDMX,Uso de consultorio1hr con US,5,560.34,1,1
CDMX,Uso de consultorio1hr con US,6,560.34,1,1
CDMX,Uso de consultorio1hr con US,7,1120.68,2,2
CDMX,Uso de consultorio1hr con US,8,560.34,1,1
CDMX,ASPIRINA PROTEC 100MG 28 TAB,1,0.0,0,0
CDMX,ASPIRINA PROTEC 100MG 28 TAB,2,6225.6,26,26
CDMX,ASPIRINA PROTEC 100MG 28 TAB,3,17011.2,72,72
CDMX,ASPIRINA PROTEC 100MG 28 TAB,4,16065.6,65,67
CDMX,ASPIRINA PROTEC 100MG 28 TAB,5,15345.6,65,65
CDMX,ASPIRINA PROTEC 100MG 28 TAB,6,14075.6,59,59
CDMX,ASPIRINA PROTEC 100MG 28 TAB,7,15091.2,62,63
CDMX,ASPIRINA PROTEC 100MG 28 TAB,8,10771.2,49,49
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),1,0.0,0,0
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),2,23329.98,14,23
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),3,65088.0,43,64
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),4,65088.0,46,64
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),5,45765.0,31,45
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),6,52884.0,37,52
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),7,64071.0,38,64
CDMX,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),8,56952.0,46,70
CDMX,Ceftriaxona,1,0.0,0,0
CDMX,Ceftriaxona,2,0.0,0,0
CDMX,Ceftriaxona,3,0.0,0,0
CDMX,Ceftriaxona,4,0.0,0,0
CDMX,Ceftriaxona,5,0.0,0,0
CDMX,Ceftriaxona,6,0.0,0,0
CDMX,Ceftriaxona,7,0.0,0,0
CDMX,Ceftriaxona,8,300.0,1,1
CDMX,Cetrotide 0.25mg,1,336698.0,119,261
CDMX,Cetrotide 0.25mg,2,269818.56,93,200
CDMX,Cetrotide 0.25mg,3,241228.16,82,189
CDMX,Cetrotide 0.25mg,4,229631.68,86,176
CDMX,Cetrotide 0.25mg,5,302951.36,99,228
CDMX,Cetrotide 0.25mg,6,203339.2,71,156
CDMX,Cetrotide 0.25mg,7,244300.96,73,184
CDMX,Cetrotide 0.25mg,8,231368.48,89,188
CDMX,DUPHASTON 10 MG 20 TAB,1,0.0,0,0
CDMX,DUPHASTON 10 MG 20 TAB,2,0.0,0,0
CDMX,DUPHASTON 10 MG 20 TAB,3,0.0,0,0
CDMX,DUPHASTON 10 MG 20 TAB,4,0.0,0,0
CDMX,DUPHASTON 10 MG 20 TAB,5,0.0,0,0
CDMX,DUPHASTON 10 MG 20 TAB,6,3750.0,4,5
CDMX,DUPHASTON 10 MG 20 TAB,7,2250.0,2,3
CDMX,DUPHASTON 10 MG 20 TAB,8,2250.0,2,3
CDMX,GONAL-F PEN2.0 - 300IU,1,0.0,0,0
CDMX,GONAL-F PEN2.0 - 300IU,2,25486.0,5,10
CDMX,GONAL-F PEN2.0 - 300IU,3,82091.0,16,16
CDMX,GONAL-F PEN2.0 - 300IU,4,98241.0,18,19
CDMX,GONAL-F PEN2.0 - 300IU,5,132000.0,21,24
CDMX,GONAL-F PEN2.0 - 300IU,6,82170.0,14,15
CDMX,GONAL-F PEN2.0 - 300IU,7,92510.0,13,17
CDMX,GONAL-F PEN2.0 - 300IU,8,82500.0,12,15
CDMX,GONAL-F PEN2.0 - 900IU,1,0.0,0,0
CDMX,GONAL-F PEN2.0 - 900IU,2,216954.0,12,17
CDMX,GONAL-F PEN2.0 - 900IU,3,560762.28,35,45
CDMX,GONAL-F PEN2.0 - 900IU,4,641774.28,43,51
CDMX,GONAL-F PEN2.0 - 900IU,5,652743.0,43,48
CDMX,GONAL-F PEN2.0 - 900IU,6,489762.0,29,36
CDMX,GONAL-F PEN2.0 - 900IU,7,432705.0,25,32
CDMX,GONAL-F PEN2.0 - 900IU,8,516243.0,31,39
CDMX,Gonapeptyl Daily 0.1 (por ampolla),1,35581.0,39,82
CDMX,Gonapeptyl Daily 0.1 (por ampolla),2,28476.0,30,63
CDMX,Gonapeptyl Daily 0.1 (por ampolla),3,25764.0,30,59
CDMX,Gonapeptyl Daily 0.1 (por ampolla),4,31976.0,34,72
CDMX,Gonapeptyl Daily 0.1 (por ampolla),5,34502.4,36,74
CDMX,Gonapeptyl Daily 0.1 (por ampolla),6,38822.4,33,81
CDMX,Gonapeptyl Daily 0.1 (por ampolla),7,40147.2,35,85
CDMX,Gonapeptyl Daily 0.1 (por ampolla),8,33062.4,35,77
CDMX,LAB - RI WITNESS RFDI PATIENT ID CARDS 6-70-100/50 (PAQUETE 50 PZAS),1,0.0,0,0
CDMX,LAB - RI WITNESS RFDI PATIENT ID CARDS 6-70-100/50 (PAQUETE 50 PZAS),2,0.0,0,0
CDMX,LAB - RI WITNESS RFDI PATIENT ID CARDS 6-70-100/50 (PAQUETE 50 PZAS),3,0.0,0,0
CDMX,LAB - RI WITNESS RFDI PATIENT ID CARDS 6-70-100/50 (PAQUETE 50 PZAS),4,0.0,0,0
CDMX,LAB - RI WITNESS RFDI PATIENT ID CARDS 6-70-100/50 (PAQUETE 50 PZAS),5,0.0,0,0
CDMX,LAB - RI WITNESS RFDI PATIENT ID CARDS 6-70-100/50 (PAQUETE 50 PZAS),6,0.0,0,0
CDMX,LAB - RI WITNESS RFDI PATIENT ID CARDS 6-70-100/50 (PAQUETE 50 PZAS),7,0.0,0,0
CDMX,LAB - RI WITNESS RFDI PATIENT ID CARDS 6-70-100/50 (PAQUETE 50 PZAS),8,431.03,1,1
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),1,0.0,0,0
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),2,414.0,1,1
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),3,1242.0,3,3
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),4,3312.0,8,8
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),5,2898.0,6,7
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),6,828.0,2,2
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),7,828.0,3,3
CDMX,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),8,828.0,2,2
CDMX,Letz 2.5mg,1,4060.0,9,9
CDMX,Letz 2.5mg,2,5600.0,8,8
CDMX,Letz 2.5mg,3,5600.0,7,7
CDMX,Letz 2.5mg,4,1600.0,2,2
CDMX,Letz 2.5mg,5,4800.0,6,6
CDMX,Letz 2.5mg,6,3200.0,4,4
CDMX,Letz 2.5mg,7,2400.0,3,3
CDMX,Letz 2.5mg,8,12704.0,16,17
CDMX,MOMENTS 50 MG 30 TABc,1,0.0,0,0
CDMX,MOMENTS 50 MG 30 TABc,2,0.0,0,0
CDMX,MOMENTS 50 MG 30 TABc,3,950.0,1,1
CDMX,MOMENTS 50 MG 30 TABc,4,950.0,1,1
CDMX,MOMENTS 50 MG 30 TABc,5,2850.0,3,3
CDMX,MOMENTS 50 MG 30 TABc,6,0.0,0,0
CDMX,MOMENTS 50 MG 30 TABc,7,950.0,1,1
CDMX,MOMENTS 50 MG 30 TABc,8,1900.0,2,2
CDMX,Merapur 75 UI (por ampolla),1,341367.0,112,443
CDMX,Merapur 75 UI (por ampolla),2,348641.16,105,441
CDMX,Merapur 75 UI (por ampolla),3,269493.7,96,351
CDMX,Merapur 75 UI (por ampolla),4,373945.92,110,479
CDMX,Merapur 75 UI (por ampolla),5,450963.0,118,512
CDMX,Merapur 75 UI (por ampolla),6,269029.2,73,308
CDMX,Merapur 75 UI (por ampolla),7,313351.2,82,354
CDMX,Merapur 75 UI (por ampolla),8,378089.8,89,441
CDMX,OESTROGEL .0.06 / 100 G (ESTRADIOL EN GEL),1,0.0,0,0
CDMX,OESTROGEL .0.06 / 100 G (ESTRADIOL EN GEL),2,4500.0,3,5
CDMX,OESTROGEL .0.06 / 100 G (ESTRADIOL EN GEL),3,14400.0,8,17
CDMX,OESTROGEL .0.06 / 100 G (ESTRADIOL EN GEL),4,9900.0,11,12
CDMX,OESTROGEL .0.06 / 100 G (ESTRADIOL EN GEL),5,4500.0,5,5
CDMX,OESTROGEL .0.06 / 100 G (ESTRADIOL EN GEL),6,8100.0,8,9
