Sede,Servicio,Subclas,Subclas2,Concepto,Ago,Jul
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Estradiol,0.0,521.55
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Examen general de orina,232.76,465.52
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",FSH,0.0,387.93
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Glucosa,379.32,379.32
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Grupo Sanguíneo RH,0.0,318.97
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Hormona Luteinizante (LH),0.0,521.55
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Insulina basal,1422.42,1896.56
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Paquete Análisis Serología,4310.34,15086.19
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil androgenico femenino,2155.17,4310.34
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil bioquímico de 24 elementos,1185.34,1185.34
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Perfil tiroideo sin anticuerpos,1793.1,1793.1
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Prolactina,387.93,387.93
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Química Sanguínea 28 elementos,0.0,1465.52
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Subunidad beta cuantitativa,0.0,474.14
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",TSH,387.93,387.93
MTP,Laboratorio,Laboratorio Clínico,"Hormonas, Sangre y Perfiles",Tiempos de Coagulación,0.0,905.17
MTP,Laboratorio,Laboratorio Externo,"Hormonas, Sangre y Perfiles",Paquete estudios diagnóstico - MET,18750.0,33750.0
MTP,Laboratorio,Laboratorio FI,Andrología,Espermatobioscopía (ED),5172.4,6465.5
MTP,Laboratorio,Laboratorio FI,Genética Embrionaria,PGT-A por embrion,178060.34,0.0
MTP,Procedimientos / Quirúrgicos,,,Biopsia testicular,28000.0,0.0
MTP,Tratamientos de Fertilidad (FIV/ICSI),Coito Programado,,3 Coitos Programados - MET,8620.69,0.0
MTP,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,FIV con 3 Transferencias / IVF with 3 Transfers- MET,230387.94,139224.14
total,Congelación y Almacenamiento de Gametos,Almacenamiento,,(Ex) Mensualidad criopreservación óvulos y/o embriones,4862.070000000001,1758.62
total,Congelación y Almacenamiento de Gametos,Almacenamiento,,Almacenamiento de gametos 1 año,589008.2699999998,461206.73999999993
total,Congelación y Almacenamiento de Gametos,Almacenamiento,,Almacenamiento de gametos 5 años,457327.5000000001,332327.53
total,Congelación y Almacenamiento de Gametos,Almacenamiento,,[EX] Anualidad Criopreservación de  Embriones,0.0,4310.34
total,Congelación y Almacenamiento de Gametos,Congelación,,(EX) EmbryoScope Kit,6896.55,6896.56
total,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de embriones CDMX,165517.24,0.0
total,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de embriones MET,54956.9,0.0
total,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de semen (por depósito) CDMX,4525.86,4310.34
total,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de semen (por depósito) CDMX - GDL - MET,47844.82000000001,31896.760000000002
total,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de óvulos CDMX,555818.97,765301.73
total,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de óvulos GDL - MET,256034.49,0.0
total,Congelación y Almacenamiento de Gametos,Congelación,,Desvitrificación,0.0,8620.69
total,Congelación y Almacenamiento de Gametos,Congelación,,Desvitrificación (4 cryotops),40474.14,0.0
total,Congelación y Almacenamiento de Gametos,Congelación,,EmbryoScope Kit Interno,17241.38,36637.93000000001
total,Congelación y Almacenamiento de Gametos,Congelación,,Vitrificación de óvulos/embriones - CDMX,16982.76,0.0
total,Congelación y Almacenamiento de Gametos,Congelación,,[EX] Captura + Fertilización + VItrificación (Embryo Freezing) GDL,60344.82000000001,30172.41
total,Congelación y Almacenamiento de Gametos,Congelación,,[EX] Captura+ Vitrificacion de ovocitos CDMX,160258.95,162963.88
total,Congelación y Almacenamiento de Gametos,Congelación,,[EX] Captura+ Vitrificacion de ovocitos GDL,42241.380000000005,72413.79000000001
total,Congelación y Almacenamiento de Gametos,Congelación,,[EX] Desvitrificación CDMX,21340.989999999998,7931.03
total,Congelación y Almacenamiento de Gametos,Congelación,,[EX] Desvitrificación GDL,59666.34999999999,18103.44
total,Congelación y Almacenamiento de Gametos,Congelación,,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",21120.69,0.0
total,Congelación y Almacenamiento de Gametos,Congelación,,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco GDL",18103.45,0.0
total,Congelación y Almacenamiento de Gametos,Congelación,,[EX] Vitrificación,173729.74999999994,104784.47
total,Consultas,Check up Ginecologico,,Check up ginecologico,54142.2,47844.76
total,Consultas,Check up Integral,,Check up Integral,9051.72,0.0
total,Consultas,Check up Integral,,check up integral,6034.48,0.0
total,Consultas,Check-up SOP,,Consulta primera vez SOP,42413.67999999999,14482.720000000001
total,Consultas,Colocación DIU,,Colocacion DIU Mirena [Consultorio],12284.490000000002,6465.52
total,Consultas,Colocación DIU,,Colocacion DIU PLATA,0.0,3017.24
total,Consultas,Consulta Obstetricia,,Consulta obstetricia,7758.6,0.0
total,Consultas,Consulta de Primera Vez IP's,,Cita primera vez IPS,8620.699999999999,2586.21
total,Consultas,Consulta primera vez,,Consulta de primera vez,108706.76,67888.23000000001
total,Consultas,Fertility Check up Hombres,,Check up Fertilidad Hombres,2155.17,1616.38
total,Consultas,Fertility Check up Hombres,,Check up Fertilidad Hombres GDL,8362.060000000001,10775.85
total,Consultas,Fertility Check up Mujeres,,Check up Fertilidad Mujeres,98180.95,96660.26999999999
total,Consultas,Fertility Check up Parejas,,Check up Fertilidad Parejas,89396.51,62241.349999999984
total,Consultas,Platica de resultado,,Consulta subsecuente,0.0,2844.8199999999997
total,Consultas,Platica de resultado,,Plática de resultados,0.0,2068.96
total,Consultas,Uso de Consultorio,,Uso de consultorio1hr con US,1681.02,2069.34
total,Farmacia,,,ASPIRINA PROTEC 100MG 28 TAB,11731.2,15571.2
total,Farmacia,,,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),56952.0,64071.0
total,Farmacia,,,Ceftriaxona,300.0,0.0
total,Farmacia,,,Cetrotide 0.25mg,300038.88,287052.96
total,Farmacia,,,DUPHASTON 10 MG 20 TAB,2250.0,2250.0
total,Farmacia,,,GONAL-F PEN2.0 - 300IU,121000.0,125510.0
total,Farmacia,,,GONAL-F PEN2.0 - 900IU,748293.0,637455.0
