Sede,Servicio,Concepto,Valor,VsLM
MTP,Farmacia,SUPLEMENTO - FORCELL FEM,0.0,-100.0
MTP,Imágenes,Ultrasonido,5172.4,-33.0
MTP,Imágenes,Histerosonografía,3017.24,
MTP,Laboratorio,PGT-A por embrion,178060.34,
MTP,Laboratorio,Paquete estudios diagnóstico - MET,18750.0,-44.0
MTP,Laboratorio,Espermatobioscopía (ED),5172.4,-20.0
MTP,Laboratorio,Paquete Análisis Serología,4310.34,-71.0
MTP,Laboratorio,Papanicolaou,3362.07,200.0
MTP,Laboratorio,Perfil androgenico femenino,2155.17,-50.0
MTP,Laboratorio,Perfil tiroideo sin anticuerpos,1793.1,0.0
MTP,Laboratorio,Insulina basal,1422.42,-25.0
MTP,Laboratorio,Perfil bioquímico de 24 elementos,1185.34,0.0
MTP,Laboratorio,Prolactina,387.93,0.0
MTP,Laboratorio,TSH,387.93,0.0
MTP,Laboratorio,Glucosa,379.32,0.0
MTP,Laboratorio,Examen general de orina,232.76,-50.0
MTP,Laboratorio,Estradiol,0.0,-100.0
MTP,Laboratorio,FSH,0.0,-100.0
MTP,Laboratorio,Grupo Sanguíneo RH,0.0,-100.0
MTP,Laboratorio,Hormona Luteinizante (LH),0.0,-100.0
MTP,Laboratorio,Química Sanguínea 28 elementos,0.0,-100.0
MTP,Laboratorio,Subunidad beta cuantitativa,0.0,-100.0
MTP,Laboratorio,Tiempos de Coagulación,0.0,-100.0
MTP,Procedimientos / Quirúrgicos,Biopsia testicular,28000.0,
MTP,Tratamientos de Fertilidad (FIV/ICSI),FIV con 3 Transferencias / IVF with 3 Transfers- MET,230387.94,65.0
MTP,Tratamientos de Fertilidad (FIV/ICSI),3 Coitos Programados - MET,8620.69,
total,Congelación y Almacenamiento de Gametos,Almacenamiento de gametos 1 año,589008.27,28.0
total,Congelación y Almacenamiento de Gametos,Congelamiento de óvulos CDMX,555818.97,-27.0
total,Congelación y Almacenamiento de Gametos,Almacenamiento de gametos 5 años,457327.5,38.0
total,Congelación y Almacenamiento de Gametos,Congelamiento de óvulos GDL - MET,256034.49,
total,Congelación y Almacenamiento de Gametos,[EX] Vitrificación,173729.75,66.0
total,Congelación y Almacenamiento de Gametos,Congelamiento de embriones CDMX,165517.24,
total,Congelación y Almacenamiento de Gametos,[EX] Captura+ Vitrificacion de ovocitos CDMX,160258.95,-2.0
total,Congelación y Almacenamiento de Gametos,[EX] Captura + Fertilización + VItrificación (Embryo Freezing) GDL,60344.82,100.0
total,Congelación y Almacenamiento de Gametos,[EX] Desvitrificación GDL,59666.35,230.0
total,Congelación y Almacenamiento de Gametos,Congelamiento de embriones MET,54956.9,
total,Congelación y Almacenamiento de Gametos,Congelamiento de semen (por depósito) CDMX - GDL - MET,47844.82,50.0
total,Congelación y Almacenamiento de Gametos,[EX] Captura+ Vitrificacion de ovocitos GDL,42241.38,-42.0
total,Congelación y Almacenamiento de Gametos,Desvitrificación (4 cryotops),40474.14,
total,Congelación y Almacenamiento de Gametos,[EX] Desvitrificación CDMX,21340.99,169.0
total,Congelación y Almacenamiento de Gametos,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",21120.69,
total,Congelación y Almacenamiento de Gametos,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco GDL",18103.45,
total,Congelación y Almacenamiento de Gametos,EmbryoScope Kit Interno,17241.38,-53.0
total,Congelación y Almacenamiento de Gametos,Vitrificación de óvulos/embriones - CDMX,16982.76,
total,Congelación y Almacenamiento de Gametos,(EX) EmbryoScope Kit,6896.55,0.0
total,Congelación y Almacenamiento de Gametos,(Ex) Mensualidad criopreservación óvulos y/o embriones,4862.07,176.0
total,Congelación y Almacenamiento de Gametos,Congelamiento de semen (por depósito) CDMX,4525.86,5.0
total,Congelación y Almacenamiento de Gametos,Desvitrificación,0.0,-100.0
total,Congelación y Almacenamiento de Gametos,[EX] Anualidad Criopreservación de  Embriones,0.0,-100.0
total,Consultas,Consulta de primera vez,108706.76,60.0
total,Consultas,Check up Fertilidad Mujeres,98180.95,2.0
total,Consultas,Check up Fertilidad Parejas,89396.51,44.0
total,Consultas,Check up ginecologico,54142.2,13.0
total,Consultas,Consulta primera vez SOP,42413.68,193.0
total,Consultas,Colocacion DIU Mirena [Consultorio],12284.49,90.0
total,Consultas,Check up Integral,9051.72,
total,Consultas,Cita primera vez IPS,8620.7,233.0
total,Consultas,Check up Fertilidad Hombres GDL,8362.06,-22.0
total,Consultas,Consulta obstetricia,7758.6,
total,Consultas,check up integral,6034.48,
total,Consultas,Check up Fertilidad Hombres,2155.17,33.0
total,Consultas,Uso de consultorio1hr con US,1681.02,-19.0
total,Consultas,Colocacion DIU PLATA,0.0,-100.0
total,Consultas,Consulta subsecuente,0.0,-100.0
total,Consultas,Plática de resultados,0.0,-100.0
total,Farmacia,GONAL-F PEN2.0 - 900IU,748293.0,17.0
total,Farmacia,PERGOVERIS PEN 900/450IU,611031.01,-6.0
